Tarih;Saat;PTF (TL/MWh);PTF (USD/MWh);PTF (EUR/MWh)
31.03.2025;00:00:00;2.900,03;76,79;71,25
31.03.2025;01:00:00;2.399,00;63,52;58,94
31.03.2025;02:00:00;1.981,00;52,46;48,67
31.03.2025;03:00:00;2.175,00;57,59;53,44
31.03.2025;04:00:00;2.200,00;58,25;54,05
31.03.2025;05:00:00;2.499,99;66,2;61,42
31.03.2025;06:00:00;2.600,01;68,85;63,88
31.03.2025;07:00:00;2.399,00;63,52;58,94
31.03.2025;08:00:00;1.339,40;35,47;32,91
31.03.2025;09:00:00;501;13,27;12,31
31.03.2025;10:00:00;266,99;7,07;6,56
31.03.2025;11:00:00;250;6,62;6,14
31.03.2025;12:00:00;250,01;6,62;6,14
31.03.2025;13:00:00;497,65;13,18;12,23
31.03.2025;14:00:00;749,99;19,86;18,43
31.03.2025;15:00:00;1.396,64;36,98;34,31
31.03.2025;16:00:00;1.977,02;52,35;48,57
31.03.2025;17:00:00;2.595,00;68,71;63,76
31.03.2025;18:00:00;2.799,01;74,12;68,77
31.03.2025;19:00:00;2.905,99;76,95;71,4
31.03.2025;20:00:00;3.000,00;79,44;73,71
31.03.2025;21:00:00;2.988,33;79,13;73,42
31.03.2025;22:00:00;1.894,99;50,18;46,56
31.03.2025;23:00:00;1.599,99;42,37;39,31
1.04.2025;00:00:00;2.599,01;68,82;63,85
1.04.2025;01:00:00;1.939,99;51,37;47,66
1.04.2025;02:00:00;1.399,99;37,07;34,4
1.04.2025;03:00:00;1.554,10;41,15;38,18
1.04.2025;04:00:00;785,45;20,8;19,3
1.04.2025;05:00:00;999,79;26,47;24,56
1.04.2025;06:00:00;1.339,39;35,47;32,91
1.04.2025;07:00:00;500,06;13,24;12,29
1.04.2025;08:00:00;251,01;6,65;6,17
1.04.2025;09:00:00;250,01;6,62;6,14
1.04.2025;10:00:00;250,01;6,62;6,14
1.04.2025;11:00:00;250;6,62;6,14
1.04.2025;12:00:00;250;6,62;6,14
1.04.2025;13:00:00;500,01;13,24;12,28
1.04.2025;14:00:00;1.080,39;28,61;26,54
1.04.2025;15:00:00;1.150,00;30,45;28,25
1.04.2025;16:00:00;1.599,98;42,37;39,31
1.04.2025;17:00:00;1.599,99;42,37;39,31
1.04.2025;18:00:00;1.849,99;48,99;45,45
1.04.2025;19:00:00;2.788,39;73,83;68,51
1.04.2025;20:00:00;2.865,58;75,88;70,4
1.04.2025;21:00:00;2.798,39;74,1;68,75
1.04.2025;22:00:00;2.198,38;58,21;54,01
1.04.2025;23:00:00;1.684,99;44,62;41,4
2.04.2025;00:00:00;1.846,00;48,88;45,35
2.04.2025;01:00:00;1.599,99;42,37;39,31
2.04.2025;02:00:00;1.399,99;37,07;34,4
2.04.2025;03:00:00;1.371,39;36,31;33,69
2.04.2025;04:00:00;1.450,00;38,39;35,62
2.04.2025;05:00:00;1.998,00;52,91;49,09
2.04.2025;06:00:00;2.750,00;72,82;67,56
2.04.2025;07:00:00;2.847,99;75,41;69,97
2.04.2025;08:00:00;2.949,99;78,11;72,48
2.04.2025;09:00:00;2.941,41;77,89;72,27
2.04.2025;10:00:00;2.848,00;75,41;69,97
2.04.2025;11:00:00;2.799,47;74,13;68,78
2.04.2025;12:00:00;2.374,99;62,89;58,35
2.04.2025;13:00:00;2.447,48;64,81;60,13
2.04.2025;14:00:00;2.500,00;66,2;61,42
2.04.2025;15:00:00;2.061,62;54,59;50,65
2.04.2025;16:00:00;2.487,66;65,87;61,12
2.04.2025;17:00:00;2.669,05;70,67;65,58
2.04.2025;18:00:00;2.825,00;74,8;69,41
2.04.2025;19:00:00;2.995,00;79,3;73,58
2.04.2025;20:00:00;2.995,01;79,31;73,58
2.04.2025;21:00:00;2.995,00;79,3;73,58
2.04.2025;22:00:00;2.688,38;71,19;66,05
2.04.2025;23:00:00;2.544,60;67,38;62,52
3.04.2025;00:00:00;2.477,00;65,59;60,86
